sample	clade
R16_NHKG_2013_22	Clade 2
NHKG_16_01_W_210	Clade 2
NHKG_16_01_W_226	Clade 2
NHKG_16_01_R_122	Clade 2
W59_NHKG_2013_4-W-13	Clade 2
DEB_1289	Clade 2
ANN1134	Clade 2
ANN1133	Clade 2
ANN0953	Clade 2
ANN0955	Clade 2
ANN0960	Clade 2
ANN1263	Clade 2
ANN1277	Clade 2
ANN1281	Clade 2
ANN1288	Clade 2
ANN1278	Clade 2
ANN1285	Clade 2
ANN1264	Clade 2
ANN1270	Clade 2
ANN1272	Clade 2
ANN1289	Clade 2
ANN1284	Clade 2
ANN1290	Clade 2
ANN1267	Clade 2
ANN1282	Clade 2
ANN1287	Clade 2
ANN1286	Clade 2
ANN1129	Clade 2
ANN1011	Clade 2
PET0435	Clade 2
ANN1138	Clade 2
ANN1303	Clade 2
ANN1128	Clade 2
PET0364	Clade 2
ANN1014	Clade 2
ANN1081	Clade 2
PET0434	Clade 2
ANN1144	Clade 2
ANN1087	Clade 2
ANN1085	Clade 2
ANN1308	Clade 2
ANN1101	Clade 2
ANN0967	Clade 2
ANN0964	Clade 2
ANN0963	Clade 2
ANN1136	Clade 2
ANN1005	Clade 2
ANN1122	Clade 2
ANN1309	Clade 2
HT55_IA2W-17	Clade 2
ANN0965	Clade 2
ANN1105	Clade 2
ANN1137	Clade 2
PET0497	Clade 2
HT5_ND1W-22	Clade 2
ANN1191	Clade 2
PET0352	Clade 2
ANN0983	Clade 2
ANN0969	Clade 2
ANN1084	Clade 2
HT014_IA2W-16	Clade 2
ANN1108	Clade 2
ANN0962	Clade 2
ANN1135	Clade 2
ANN1015	Clade 2
PET0472	Clade 2
ANN0966	Clade 2
ANN1305	Clade 2
ANN0976	Clade 2
ANN1082	Clade 2
ANN0970	Clade 2
ANN0972	Clade 2
ANN0975	Clade 2
ANN0980	Clade 2
ANN1002	Clade 2
ANN0959	Clade 2
ANN1310	Clade 2
ANN0922	Clade 2
ANN0923	Clade 2
ANN1013	Clade 2
PET0354	Clade 2
PET0357	Clade 2
PET0463	Clade 2
PET0353	Clade 2
ANN1139	Clade 2
ANN0852	Clade 2
HT365_IA2W-11	Clade 2
ANN1104	Clade 2
ANN1127	Clade 2
ANN0961	Clade 2
ANN1124	Clade 2
ANN1307	Clade 2
ANN0951	Clade 2
ANN0968	Clade 2
ANN1109	Clade 2
ANN1110	Clade 2
ANN1283	Clade 2
PET0359	Clade 2
PET0484	Clade 2
ED2_KS2W24-7_43	Clade 2
ANN1103	Clade 2
ANN0978	Clade 2
ANN1301	Clade 2
ANN1304	Clade 2
HT24_IA2W-14	Clade 2
HT103_IA2W-39	Clade 2
ANN1102	Clade 2
QPC2_IA2W-6	Clade 2
PET0363	Clade 2
ANN1306	Clade 2
ANN0954	Clade 2
ANN1123	Clade 2
ANN1213	Clade 2
ANN1220	Clade 2
PET0494	Clade 2
ED15_IA2W17-1_333	Clade 2
ANN1010	Clade 2
ANN1116	Clade 2
ANN1115	Clade 2
ANN1120	Clade 2
ANN1111	Clade 2
ANN1113	Clade 2
ANN1112	Clade 2
ANN1121	Clade 2
ANN1118	Clade 2
ANN1114	Clade 2
ANN1117	Clade 2
ANN1291	Clade 2
ANN1292	Clade 2
ANN1294	Clade 2
ANN1299	Clade 2
ANN1296	Clade 2
ANN1295	Clade 2
ANN1132	Clade 2
ANN1106	Clade 2
PET0440	Clade 2
ANN1131	Clade 2
ANN1302	Clade 2
ANN1140	Clade 2
ANN1130	Clade 2
PET0355	Clade 2
ANN1266	Clade 2
ANN1276	Clade 2
ANN1271	Clade 2
ANN1280	Clade 2
ANN1269	Clade 2
ANN1279	Clade 2
ANN1274	Clade 2
ANN1273	Clade 2
PET0501	Clade 2
PET0510	Clade 2
PET0502	Clade 2
PET0504	Clade 2
PET0506	Clade 2
PET0503	Clade 2
PET0508	Clade 2
PET0507	Clade 2
ANN1031	Clade 2
HT277_KS1W-40	Clade 2
ANN1035	Clade 2
ANN1275	Clade 2
ANN1036	Clade 2
ANN1034	Clade 2
ANN1040	Clade 2
ANN1033	Clade 2
ANN1175	Clade 2
ANN1176	Clade 2
ANN1178	Clade 2
ANN1180	Clade 2
PET0675	Clade 2
HT146_SD2W-5	Clade 2
HT345_KS1W-2	Clade 2
HT352_MO1W-33	Clade 2
QPE2_KS1W-26	Clade 2
HT255_KS1W-29	Clade 2
QPG1_SD1W-15	Clade 2
ANN1320	Clade 2
ANN1314	Clade 2
HT104_KS2W-15R	Clade 2
PET0549	Clade 2
PET0550	Clade 2
PET0557	Clade 2
PET0558	Clade 2
PET0556	Clade 2
PET0370	Clade 2
ARG0151	Clade 2
ARG0197	Clade 2
ARG0157	Clade 2
ARG0192	Clade 2
ARG0199	Clade 2
PET0478	Clade 2
ANN0802	Clade 1
ANN0807	Clade 1
ANN0808	Clade 1
ANN0810	Clade 1
ANN0804	Clade 1
ANN0806	Clade 1
PET0378	Clade 1
ANN1004	Clade 1
ANN1146	Clade 1
ANN1142	Clade 1
ANN1149	Clade 1
ANN1141	Clade 1
ANN0911	Clade 1
ARG0062N	Clade 1
ARG0079	Clade 1
ARG0069	Clade 1
ARG0203	Clade 1
ARG0065	Clade 1
ARG0070	Clade 1
ARG0071	Clade 1
ARG0080	Clade 1
ARG0208	Clade 1
ARG0210	Clade 1
ARG0206	Clade 1
ARG0066	Clade 1
ARG0072	Clade 1
ARG0205	Clade 1
ARG0075	Clade 1
ARG0201	Clade 1
ARG0077	Clade 1
ARG0207	Clade 1
ARG0202	Clade 1
ARG0204	Clade 1
ARG0064	Clade 1
ARG0073	Clade 1
ARG0209	Clade 1
ARG0078	Clade 1
ARG0074	Clade 1
ARG0262	Clade 1
ARG0265	Clade 1
ARG0267N	Clade 1
ARG0284	Clade 1
ARG0290	Clade 1
ARG0285	Clade 1
PET0761	Clade 1
PET0764	Clade 1
ARG0269	Clade 1
ARG0263	Clade 1
ARG0266N	Clade 1
PET0753	Clade 1
PET0366	Clade 1
PET0791	Clade 1
PET0792	Clade 1
PET0633	Clade 1
PET0788	Clade 1
PET0795	Clade 1
PET0755N	Clade 1
PET0758	Clade 1
ANN0914	Clade 1
PET0632	Clade 1
PET0629	Clade 1
PET0636	Clade 1
PET0609	Clade 1
PET0610	Clade 1
PET0614	Clade 1
PET0617	Clade 1
PET0611	Clade 1
PET0613	Clade 1
PET0800	Clade 1
PET0615	Clade 1
PET0612	Clade 1
PET0721	Clade 1
PET0362	Clade 1
PET0365	Clade 1
PET0367	Clade 1
PET0369	Clade 1
PET0768	Clade 1
PET0441	Clade 1
PET0447	Clade 1
PET0443	Clade 1
PET0756N	Clade 1
PET0797	Clade 1
PET0750	Clade 1
PET0752	Clade 1
PET0754	Clade 1
PET0790	Clade 1
PET0748	Clade 1
PET0760	Clade 1
PET0770	Clade 1
PET0778	Clade 1
PET0780N	Clade 1
PET0784	Clade 1
PET0786	Clade 1
PET0787	Clade 1
PET0783	Clade 1
PET0785	Clade 1
PET0763	Clade 1
PET0749N	Clade 1
PET0751	Clade 1
PET0759	Clade 1
PET0766	Clade 1
PET0762	Clade 1
PET0765	Clade 1
PET0767	Clade 1
ARG0001	Clade 1
ARG0007	Clade 1
ARG0009	Clade 1
ARG0003	Clade 1
ARG0008	Clade 1
ARG0004	Clade 1
ARG0005	Clade 1
ARG0002	Clade 1
ARG0006	Clade 1
ARG0010	Clade 1
ANN0912	Clade 1
ANN0916	Clade 1
ANN0917	Clade 1
ANN0918	Clade 1
ANN0990	Clade 1
ANN1297	Clade 1
ANN0920	Clade 1
HK24_16_01_W_115	Clade 1
R11_SBF_2013_49	Clade 1
R3_SBF_2013_21	Clade 1
R4_SBF_2013_24	Clade 1
R9_SBF_2013_38	Clade 1
ANN0913	Clade 1
ANN0958	Clade 1
ANN0919	Clade 1
ANN1293	Clade 1
GO9_GB275	Clade 1
ANN1300	Clade 1
ANN1298	Clade 1
GO1_GB057	Clade 1
GO2_GB066	Clade 1
GO3_GB067	Clade 1
GO5_GB069	Clade 1
GO8_GB179	Clade 1
GO4_GB068	Clade 1
GO7_GB071	Clade 1
GO6_GB070	Clade 1
PET0360	Clade 1
PET0433	Clade 1
ANN0952	Clade 1
ANN1008	Clade 1
ANN1143	Clade 1
ANN1150	Clade 1
ANN1006	Clade 1
ANN0956	Clade 1
ANN0957	Clade 1
ANN1001	Clade 1
ANN1009	Clade 1
PET0343	Clade 1
PET0349	Clade 1
PET0439	Clade 1
PET0347	Clade 1
PET0431	Clade 1
PET0386	Clade 1
PET0432	Clade 1
PET0436	Clade 1
GSD1184	Clade 1
GSD1276	Clade 1
GSD1573	Clade 1
PET0382	Clade 1
PET0381	Clade 1
PET0384	Clade 1
PET0388	Clade 1
GSD1009	Clade 1
GSD1503	Clade 1
PET0781	Clade 1
PET0779N	Clade 1
PET0793	Clade 1
PET0789	Clade 1
PET0546	Clade 1
PET0583	Clade 1
PET0584	Clade 1
PET0588	Clade 1
PET0777	Clade 1
PET0579	Clade 1
PET0586	Clade 1
PET0582	Clade 1
PET0587	Clade 1
PET0580	Clade 1
PET0769	Clade 1
PET0774N	Clade 1
PET0775	Clade 1
PET0776	Clade 1
GSD2252	Clade 1
PET0757	Clade 1
PET0358	Clade 1
PET0324	Clade 1
R13_SBF_2013_58	Clade 1
R1_SBF_2013_15	Clade 1
DEB_1135	Clade 1
PET0687	Clade 1
ANN0927	Clade 1
ANN0929	Clade 1
ANN0930	Clade 1
ANN1061	Clade 1
GSD2008	Clade 1
GSD983	Clade 1
PET0376	Clade 1
PET0428	Clade 1
PET0422	Clade 1
PET0424	Clade 1
PET0380	Clade 1
PET0414	Clade 1
PET0423	Clade 1
PET0371	Clade 1
PET0383	Clade 1
PET0415	Clade 1
PET0387	Clade 1
PET0420	Clade 1
PET0413	Clade 1
PET0417	Clade 1
PET0379	Clade 1
PET0430	Clade 1
PET0392N	Clade 1
PET0396	Clade 1
PET0400	Clade 1
PET0427	Clade 1
PET0385	Clade 1
PET0372	Clade 1
PET0373	Clade 1
PET0374	Clade 1
PET0412	Clade 1
PET0416	Clade 1
PET0375	Clade 1
PET0395	Clade 1
PET0419	Clade 1
PET0377	Clade 1
PET0418	Clade 1
PET0429	Clade 1
ANN1069	Clade 1
PET0421	Clade 1
PET0301	Clade 1
PET0306	Clade 1
PET0323	Clade 1
PET0331	Clade 1
PET0309N	Clade 1
PET0326	Clade 1
PET0336	Clade 1
PET0308	Clade 1
PET0328	Clade 1
PET0304	Clade 1
PET0302	Clade 1
PET0330	Clade 1
PET0307	Clade 1
PET0305	Clade 1
PET0327	Clade 1
PET0303	Clade 1
PET0350	Clade 1
PET0348	Clade 1
PET0345	Clade 1
PET0407	Clade 1
PET0626	Clade 1
PET0310	Clade 1
PET0404	Clade 1
PET0311	Clade 1
PET0313	Clade 1
PET0320	Clade 1
PET0317	Clade 1
PET0312	Clade 1
PET0318	Clade 1
PET0403	Clade 1
PET0405	Clade 1
PET0406	Clade 1
PET0410	Clade 1
PET0481	Clade 1
PET0619	Clade 1
PET0635	Clade 1
PET0631	Clade 1
PET0314	Clade 1
PET0315	Clade 1
PET0319	Clade 1
PET0402	Clade 1
PET0409	Clade 1
PET0321	Clade 1
PET0325	Clade 1
PET0338	Clade 1
PET0335	Clade 1
PET0691	Clade 1
PET0736N	Clade 1
PET0747	Clade 1
PET0322	Clade 1
PET0329	Clade 1
PET0334	Clade 1
PET0401	Clade 1
PET0715	Clade 1
PET0621	Clade 1
PET0625	Clade 1
PET0667	Clade 1
PET0662	Clade 1
PET0673	Clade 1
PET0706	Clade 1
PET0672	Clade 1
PET0681	Clade 1
PET0698	Clade 1
PET0688	Clade 1
PET0692	Clade 1
PET0623	Clade 1
PET0676	Clade 1
PET0677	Clade 1
PET0664N	Clade 1
PET0695	Clade 1
PET0693	Clade 1
PET0696	Clade 1
PET0700	Clade 1
PET0701	Clade 1
PET0702	Clade 1
PET0709	Clade 1
PET0705	Clade 1
PET0707	Clade 1
PET0704	Clade 1
PET0703	Clade 1
PET0708	Clade 1
PET0710	Clade 1
PET0711	Clade 1
PET0714	Clade 1
PET0717	Clade 1
PET0712	Clade 1
PET0713	Clade 1
PET0620	Clade 1
PET0637	Clade 1
PET0643	Clade 1
PET0624	Clade 1
PET0644	Clade 1
PET0622	Clade 1
PET0630	Clade 1
PET0627	Clade 1
PET0639	Clade 1
PET0642	Clade 1
PET0647	Clade 1
PET0641	Clade 1
PET0634	Clade 1
PET0646	Clade 1
PET0638	Clade 1
PET0640	Clade 1
PET0678	Clade 1
PET0735	Clade 1
PET0738	Clade 1
PET0740	Clade 1
PET0742	Clade 1
PET0745	Clade 1
PET0746	Clade 1
PET0743	Clade 1
PET0741	Clade 1
PET0744	Clade 1
PET0679	Clade 1
PET0680	Clade 1
PET0683	Clade 1
PET0685	Clade 1
PET0728	Clade 1
PET0734	Clade 1
PET0649	Clade 1
PET0654	Clade 1
PET0650	Clade 1
PET0651	Clade 1
PET0656	Clade 1
PET0655	Clade 1
PET0652	Clade 1
PET0658	Clade 1
PET0725	Clade 1
PET0719	Clade 1
PET0722	Clade 1
PET0668	Clade 1
PET0669	Clade 1
PET0670	Clade 1
PET0674	Clade 1
PET0727	Clade 1
PET0723	Clade 1
PET0718	Clade 1
PET0720	Clade 1
PET0724	Clade 1
PET0659	Clade 1
PET0682	Clade 1
PET0694	Clade 1
PET0660	Clade 1
PET0665	Clade 1
PET0733	Clade 1
PET0653	Clade 1
PET0645	Clade 1
PET0739	Clade 1
PET0730	Clade 1
PET0731	Clade 1
PET0732	Clade 1
PET0737	Clade 1
PET0618	Clade 1
PET0726	Clade 1
PET0341	Clade 1
PET0342	Clade 1
PET0648	Clade 1
PET0657	Clade 1
PET0684	Clade 1
PET0716	Clade 1
PET0697	Clade 1
PET0689N	Clade 1
ANN1145	Clade 1
ANN1148	Clade 1
ANN1147	Clade 1
ANN1163	Clade 1
ANN1170	Clade 1
ARG0243	Clade 1
ARG0248	Clade 1
ARG0273	Clade 1
ARG0245	Clade 1
ARG0247	Clade 1
ARG0270	Clade 1
ARG0275	Clade 1
ARG0281	Clade 1
ARG0283	Clade 1
ARG0287	Clade 1
ARG0286	Clade 1
ARG0288	Clade 1
ARG0289	Clade 1
ANN1357	Clade 1
ANN1359	Clade 1
ARG0166	Clade 1
ARG0156	Clade 1
ARG0154	Clade 1
ARG0155	Clade 1
ARG0152	Clade 1
ARG0158	Clade 1
ARG0160	Clade 1
ARG0159	Clade 1
ARG0153	Clade 1
ANN1358	Clade 1
ARG0161	Clade 1
ANN1360	Clade 1
ARG0162	Clade 1
ARG0163	Clade 1
ARG0150	Clade 1
ARG0082	Clade 1
ARG0084	Clade 1
ARG0051	Clade 1
ARG0054	Clade 1
ARG0055	Clade 1
ARG0056	Clade 1
ARG0060	Clade 1
ARG0057	Clade 1
PET0316	Clade 1
PET0425	Clade 1
ANN0921	Ancestral clade
ANN1323	Ancestral clade
ANN1328	Ancestral clade
ANN1326	Ancestral clade
ANN1325	Ancestral clade
ANN1327	Ancestral clade
ANN1329	Ancestral clade
ANN0926	Ancestral clade
ANN0925	Ancestral clade
ANN1048	Ancestral clade
ANN1322	Ancestral clade
664647_GIG	Ancestral clade
GRO_2043	Ancestral clade
ANN0881	Ancestral clade
ANN0883	Ancestral clade
ANN1007	Ancestral clade
ANN1389	Ancestral clade
ANN0915	Ancestral clade
ANN0889	Ancestral clade
ANN0985	Ancestral clade
ANN0928	Ancestral clade
ANN1261	Ancestral clade
ANN1262	Ancestral clade
PET0663	Ancestral clade
PET0666	Ancestral clade
PET0690N	Ancestral clade
PET0699	Ancestral clade
DB37	Ancestral clade
DEC_1895	Ancestral clade
DB287	Ancestral clade
DIV_1956	Ancestral clade
DB324	Ancestral clade
ANN1019	Ancestral clade
ANN1020	Ancestral clade
HT373_SD1W-4	Ancestral clade
HT6_SD1W-21	Ancestral clade
Q097_SD1W-6	Ancestral clade
ANN1126	Ancestral clade
HT290_SD1W-20	Ancestral clade
PET0356	Ancestral clade
P.tenuifolius	Ancestral clade
