sample	clade
ANN0864	Clade 2
ANN0880	Clade 2
ANN0879	Clade 2
ANN0877	Clade 2
ANN0863	Clade 2
ANN0862	Clade 2
ANN0868	Clade 2
ANN0871	Clade 2
ANN0875	Clade 2
ANN0866	Clade 2
ANN0867	Clade 2
ANN0870	Clade 2
ANN0869	Clade 2
ANN0876	Clade 2
ANN1003	Clade 2
ANN1330	Clade 2
ANN1311	Clade 2
ANN1318	Clade 2
ANN1221	Clade 2
ANN1228	Clade 2
ANN1321	Clade 2
ANN1313	Clade 2
ANN1324	Clade 2
ANN1319	Clade 2
ANN1222	Clade 2
ANN1224	Clade 2
ANN1226	Clade 2
ANN1227	Clade 2
ANN1230	Clade 2
ANN1312	Clade 2
ANN1316	Clade 2
ANN1315	Clade 2
ANN1317	Clade 2
ANN1334	Clade 2
ANN0801	Clade 2
ANN0849	Clade 2
ANN0827	Clade 2
ANN1056	Clade 2
ANN1059	Clade 2
ANN0844	Clade 2
ANN1057	Clade 2
ANN0829	Clade 2
ANN0828	Clade 2
HT259_KS2E-6	Clade 2
ANN0805	Clade 2
ANN0822	Clade 2
ANN0826	Clade 2
ANN1051	Clade 2
QPA2_KS2W-8	Clade 2
ANN0821	Clade 2
ANN0842	Clade 2
ANN1052	Clade 2
ANN1054	Clade 2
HT011_IA2W-37	Clade 2
HT56_IA2W-37	Clade 2
Q017B_KS2W-6_1R	Clade 2
ANN0848	Clade 2
ANN1058	Clade 2
ANN1053	Clade 2
ANN0830	Clade 2
ANN0824	Clade 2
ANN0831-	Clade 2
ANN0833	Clade 2
ANN0835	Clade 2
ANN0838	Clade 2
ANN0836	Clade 2
GSD1039	Clade 2
GSD2031	Clade 2
GSD1329	Clade 2
GSD1732	Clade 2
GSD1258	Clade 2
GSD1375	Clade 2
PET0598	Clade 2
GSD1139	Clade 2
GSD1169	Clade 2
PET0589	Clade 2
GSD1707	Clade 2
PET0499	Clade 2
PET0480	Clade 2
Q166B_ND1W-25	Clade 2
PET0344	Clade 2
PET0474N	Clade 2
PET0477	Clade 2
PET0468	Clade 2
QPH4_SD1W-13	Clade 2
HT213_ND1W-20	Clade 2
HT237_MO1W-38	Clade 2
GSD1085	Clade 2
PET0465	Clade 2
PET0460N	Clade 2
PET0524	Clade 2
PET0796	Clade 2
PET0514	Clade 2
ANN1403	Clade 2
ANN1404	Clade 2
ANN1407	Clade 2
PET0454N	Clade 2
ANN1229	Clade 2
ANN1183	Clade 2
ANN0892	Clade 2
ANN1235	Clade 2
ANN1240	Clade 2
ANN1374	Clade 2
ANN1241	Clade 2
ANN1242	Clade 2
ANN1244	Clade 2
ANN1243	Clade 2
ANN1249	Clade 2
ANN1245	Clade 2
ANN1248	Clade 2
ANN1246	Clade 2
ANN1381	Clade 2
ANN1382	Clade 2
ANN1384	Clade 2
ANN1386	Clade 2
ANN1388	Clade 2
ANN1390	Clade 2
ANN1387	Clade 2
ANN1385	Clade 2
PET0581	Clade 2
ANN1365	Clade 2
ANN1370	Clade 2
ANN1366	Clade 2
HT305_ND1W-27	Clade 2
ANN0931	Clade 2
ANN0938	Clade 2
ARG0216	Clade 2
ANN1405	Clade 2
ANN1016	Clade 2
PET0488	Clade 2
ANN1125	Clade 2
ARG0179	Clade 2
ARG0215	Clade 2
ANN1107	Clade 2
ARG0061	Clade 2
PET0397	Clade 2
PET0486	Clade 2
ANN0937	Clade 2
ANN0936	Clade 2
ARG0063	Clade 2
ARG0067	Clade 2
ARG0068	Clade 2
ARG0171	Clade 2
ARG0220	Clade 2
ARG0219	Clade 2
ARG0214	Clade 2
HT170_SD2W-14	Clade 2
HT194_SD2W-15	Clade 2
ANN1233	Clade 2
ANN1237	Clade 2
ANN1238	Clade 2
PET0527	Clade 2
PET0529	Clade 2
PET0528	Clade 2
ANN0834	Clade 2
ANN0891	Clade 2
ANN1154	Clade 2
ANN0893	Clade 2
ANN0896	Clade 2
PET0566	Clade 2
ED18_ND1W27-2_288	Clade 2
HT44_ND1W-12	Clade 2
PET0515	Clade 2
ANN1158	Clade 2
PET0458	Clade 2
ANN1231	Clade 2
ANN1232	Clade 2
ANN1234	Clade 2
ANN1239	Clade 2
ANN1338	Clade 2
ANN1377	Clade 2
ANN1379	Clade 2
ANN1378	Clade 2
ANN1375	Clade 2
ANN1371	Clade 2
ANN1372	Clade 2
ANN1376	Clade 2
ANN1380	Clade 2
ANN1373	Clade 2
ANN1247	Clade 2
ANN1361	Clade 2
ANN1394	Clade 2
ANN1399	Clade 2
ANN1397	Clade 2
ARG0212	Clade 2
ARG0217	Clade 2
ARG0213	Clade 2
ARG0031	Clade 2
ARG0035	Clade 2
ARG0033	Clade 2
ARG0032	Clade 2
ARG0037	Clade 2
ARG0036	Clade 2
ARG0034	Clade 2
ARG0040	Clade 2
ARG0038	Clade 2
ARG0039	Clade 2
PET0521	Clade 2
PET0526	Clade 2
PET0522	Clade 2
ANN0882	Clade 2
PET0332	Clade 2
Q076C_SD2W-23	Clade 2
QPF4_KS1W-9	Clade 2
ANN1383	Clade 2
ANN1396	Clade 2
ANN0851	Clade 2
ANN0856	Clade 2
ANN0857	Clade 2
ANN1063	Clade 2
ANN1064	Clade 2
ANN0933	Clade 2
ANN0854	Clade 2
ANN0859	Clade 2
ANN1044	Clade 2
ANN0934	Clade 2
ANN0939	Clade 2
ANN0860	Clade 2
ANN1050	Clade 2
ANN1070	Clade 2
ANN1062	Clade 2
ANN0853	Clade 2
ANN0858	Clade 2
ANN1042	Clade 2
ANN1068	Clade 2
ANN0855	Clade 2
ANN0935	Clade 2
ANN0932	Clade 2
ANN1066	Clade 2
ANN1045	Clade 2
ANN1067	Clade 2
ANN1065	Clade 2
ANN0890	Clade 2
ANN0846	Clade 2
ANN0843	Clade 2
ANN0887	Clade 2
PET0576	Clade 2
PET0513	Clade 2
ANN0884	Clade 2
ANN0886	Clade 2
ANN0845	Clade 2
ANN1333	Clade 2
ANN0840	Clade 2
HT149_IA2W-29	Clade 2
PET0548	Clade 2
HT51_SD2W-40	Clade 2
PET0544	Clade 2
ANN0897	Clade 2
PET0541N	Clade 2
ANN1188	Clade 2
PET0539	Clade 2
ANN1157	Clade 2
Q099_SD1W-21B	Clade 2
ANN1420	Clade 2
ANN0839	Clade 2
ANN1250	Clade 2
PET0572	Clade 2
PET0530	Clade 2
ANN0841	Clade 2
PET0337	Clade 2
PET0564	Clade 2
HT247_IA1W-33	Clade 2
PET0563	Clade 2
ANN0847	Clade 2
ANN0850	Clade 2
ANN1037	Clade 2
PET0571	Clade 2
ANN0832	Clade 2
ANN1260	Clade 2
ANN0895	Clade 2
Q042_KS1W-35	Clade 2
ANN0837	Clade 2
Q084_KS2W-32	Clade 2
PET0518	Clade 2
PET0543	Clade 2
PET0545	Clade 2
PET0517	Clade 2
PET0523	Clade 2
ANN1156	Clade 2
ANN1186	Clade 2
ANN1153	Clade 2
ANN0888	Clade 2
GSD2067	Clade 2
PET0346	Clade 2
PET0340	Clade 2
PET0339	Clade 2
PET0573	Clade 2
PET0333	Clade 2
PET0568	Clade 2
ANN0973	Clade 2
ANN0979	Clade 2
ANN0989	Clade 2
PET0794	Clade 2
ANN1043	Clade 2
ANN1041	Clade 2
PET0361N	Clade 2
PET0495	Clade 2
PET0498	Clade 2
PET0500	Clade 2
ANN0984	Clade 2
ANN1049	Clade 2
PET0485	Clade 2
PET0452	Clade 2
PET0445	Clade 2
PET0459N	Clade 2
ANN1046	Clade 2
PET0444	Clade 2
PET0451	Clade 2
PET0490	Clade 2
PET0475	Clade 2
PET0448	Clade 2
PET0466	Clade 2
PET0461	Clade 2
PET0449	Clade 2
PET0450	Clade 2
PET0446	Clade 2
PET0455	Clade 2
PET0442	Clade 2
PET0456	Clade 2
PET0492	Clade 2
ANN1200	Clade 2
Q33_IA1W-28	Clade 2
ANN0988	Clade 2
HT271_IA1W-15	Clade 2
PET0559	Clade 2
PET0562	Clade 2
PET0565	Clade 2
PET0560	Clade 2
PET0561	Clade 2
HT220_SK1W-15	Clade 2
HT227_KS2W-9	Clade 2
PET0512	Clade 2
PET0519	Clade 2
PET0590	Clade 2
PET0596	Clade 2
PET0595	Clade 2
PET0532	Clade 2
PET0569N	Clade 2
PET0575	Clade 2
PET0578	Clade 2
PET0570	Clade 2
HT254_KS1W-27	Clade 2
PET0516	Clade 2
PET0599	Clade 2
PET0534N	Clade 2
PET0537	Clade 2
HT274_KS1W-3	Clade 2
HT272_IA1W-39	Clade 2
PET0493	Clade 2
PET0509	Clade 2
PET0592	Clade 2
ANN1192	Clade 2
ANN1193	Clade 2
ANN1194	Clade 2
ANN1199	Clade 2
ANN1195	Clade 2
ANN1197	Clade 2
ANN1198	Clade 2
Q052B-KS2W-15	Clade 2
ANN1196	Clade 2
PET0464	Clade 2
PET0535	Clade 2
PET0536	Clade 2
PET0491	Clade 2
PET0531	Clade 2
PET0520	Clade 2
PET0591	Clade 2
HT217_SD2W-21	Clade 2
HT300_MB1W16	Clade 2
PET0489	Clade 2
HT242_SK1W-25	Clade 2
PET0607	Clade 2
HT301_MB1W_16B	Clade 2
Q100_SD2W-23R	Clade 2
HT228_KS2W-12	Clade 2
PET0593	Clade 2
PET0597	Clade 2
HT270_IA1W_11R	Clade 2
Q076_IA1W-11	Clade 2
Q077_IA1W-21	Clade 2
HT033N_IA2W-38	Clade 2
Q094_ND1W-38	Clade 2
ANN1439	Clade 2
QPD2_KS1W-32	Clade 2
HT211_MO1W-39	Clade 2
Q046_KS2W-24	Clade 2
ANN1165	Clade 2
HT360_SD1W-35	Clade 2
PET0453N	Clade 2
PET0483	Clade 2
PET0540	Clade 2
PET0482	Clade 2
PET0487	Clade 2
ANN1501	Clade 2
ED12_SK1W15-3_300	Clade 2
HT100_SK1W-29	Clade 2
HT124_SK1W-36	Clade 2
HT378_SK1W-22	Clade 2
HT311_SK1W-29R	Clade 2
Q021B_IA1W-2	Clade 2
ANN0981	Clade 2
ANN0974	Clade 2
ANN1000	Clade 2
ANN1017	Clade 2
ANN1083	Clade 2
ANN1090	Clade 2
ANN1089	Clade 2
ANN1086	Clade 2
ANN1088	Clade 2
ANN1094	Clade 2
ANN0977	Clade 2
ANN0995	Clade 2
ANN0994	Clade 2
ANN1099	Clade 2
ANN1092	Clade 2
ANN1097	Clade 2
ANN0998	Clade 2
ANN0997	Clade 2
ANN1093	Clade 2
ANN1100	Clade 2
ANN1091	Clade 2
ANN1096	Clade 2
ANN1095	Clade 2
ANN1098	Clade 2
HT142_MO1W-15	Clade 2
PET0574	Clade 2
PET0505	Clade 2
ANN1189	Clade 2
ARG0211	Clade 2
ARG0218	Clade 2
ANN1181	Clade 2
ANN1265	Clade 2
PET0457	Clade 2
ANN1268	Clade 2
ANN0986	Clade 2
HT317_IA1W-4	Clade 2
ANN1190	Clade 2
Q144C_ND1W-31	Clade 2
ANN1207	Clade 2
HT141_MO1W-11	Clade 2
HT236_MO1W-2	Clade 2
HT165_MO1W-16	Clade 2
HT68_MO1W-7	Clade 2
ANN1209	Clade 2
HT164_MO1W-3	Clade 2
ANN1211	Clade 2
ANN1218	Clade 2
ANN1219	Clade 2
ANN1214	Clade 2
ANN1217	Clade 2
ANN1216	Clade 2
ANN1212	Clade 2
ANN1215	Clade 2
ANN0992	Clade 2
ANN0993	Clade 2
ANN0999	Clade 2
ANN0996	Clade 2
ANN1341	Clade 2
ANN1350	Clade 2
ANN1345	Clade 2
ANN1346	Clade 2
ANN1347	Clade 2
ANN1343	Clade 2
ANN1348	Clade 2
ANN1349	Clade 2
ANN1344	Clade 2
HT232_MB1W-11	Clade 2
HT233_MB1W-14	Clade 2
ANN0971	Clade 2
ANN1018	Clade 2
ANN1179	Clade 2
ANN1203	Clade 2
ANN1185	Clade 2
PET0553	Clade 2
ANN0987	Clade 2
ANN1204	Clade 2
ANN1332	Clade 2
ANN1335	Clade 2
ANN1171	Clade 2
ANN1177	Clade 2
ANN1174	Clade 2
PET0547	Clade 2
ANN1187	Clade 2
HK24_16_01_W_126	Clade 2
NHKE_8-3	Clade 2
R21_NHKG_2013_2-R-6B	Clade 2
Q083_KS2W-14	Clade 2
HT330_ND1W-6	Clade 2
PET0616	Clade 2
Q041_KS1W-24	Clade 2
ANN0940	Clade 2
ANN1257	Clade 2
ANN0949	Clade 2
ANN1258	Clade 2
ANN0942	Clade 2
ANN1252	Clade 2
ANN1256	Clade 2
Q098_SD1W-14	Clade 2
ANN0945	Clade 2
ANN1253	Clade 2
ANN0950	Clade 2
ANN1254	Clade 2
ANN1259	Clade 2
ANN0946	Clade 2
ANN0943	Clade 2
ANN0944	Clade 2
ANN1251	Clade 2
ANN1255	Clade 2
ANN0947	Clade 2
ANN1362	Clade 2
ANN1363	Clade 2
ANN1364	Clade 2
ANN1367	Clade 2
ANN1368	Clade 2
ANN1369	Clade 2
ED13_IA1W1-6_308	Clade 2
HT93_ND1W-33	Clade 2
HT60_MB1W-30	Clade 2
HT231_MB1W-8	Clade 2
ANN1201	Clade 2
PET0554	Clade 2
ANN0948	Clade 2
HT125_MB1W-20	Clade 2
HT140_MO1W-2R	Clade 2
HT118_SD2W-19	Clade 2
HT61_MB1W-31	Clade 2
ANN1206	Clade 2
HT196_SK1W-1	Clade 2
ANN0941	Clade 2
ANN1205	Clade 2
HT269_IA1W-5	Clade 2
ANN1331	Clade 2
ANN1340	Clade 2
ANN1337	Clade 2
ANN1161	Clade 2
ANN1167	Clade 2
PET0476	Clade 2
PET0479	Clade 2
ANN1391	Clade 2
ANN1395	Clade 2
ANN1392	Clade 2
ANN1400	Clade 2
ANN1393	Clade 2
ANN1398	Clade 2
Q086_MB1W-40	Clade 2
QPG4_KS2W-35	Clade 2
HT379_SK1W-22R	Clade 2
Q075_IA1W-1	Clade 2
ANN1225	Clade 2
Q036B_KS1W-19	Clade 2
ANN1172	Clade 2
ANN1173	Clade 2
ANN1202	Clade 2
ANN0982	Clade 2
HT218_SD2W-30	Clade 2
ANN1210	Clade 2
ANN1208	Clade 2
PET0496	Clade 2
PET0511	Clade 2
PET0552	Clade 2
ANN1184	Clade 2
HT219_SD2W-38	Clade 2
DEB_1810	Clade 2
HT234_MB1W-39	Clade 2
PET0555	Clade 2
ANN1223	Clade 2
ANN1182	Clade 2
QPB3_IA2W-7	Clade 2
ANN1012	Clade 2
ANN0991	Clade 2
PET0542N	Clade 2
ANN1342	Clade 2
ARG0081	Clade 2
ARG0115	Clade 2
ARG0112	Clade 2
ARG0120	Clade 2
ARG0118	Clade 2
ARG0113	Clade 2
ARG0107	Clade 2
ANN1354	Clade 2
ARG0241	Clade 2
